,Input Name,Input Website,Match,Stage,Score,Source
74,Eleq Steenwijk B.V.,eleq.com/nl/,eleq.com/nl,2 - SQL / Sales Outreach,95.65217391304348,Movements NL
75,Watson-Marlow Bredel B.V.,watson-marlow.com,No Match,-,0.0,Movements NL
76,Reprodex B.V.,reprodex.com,reprodex.com,1- MQL (Marketing),100.0,Movements NL
77,KS Profiel B.V.,ksprofiel.nl/,No Match,-,0.0,Movements NL
78,Louët B.V.,louet.nl,No Match,-,0.0,Movements NL
79,Aircraft Part-Out Company Europe B.V.,apocaviation.com/,apocaviation.com,4 - Offering (S),96.96969696969697,Movements NL
80,NGM International B.V.,ngm-int.com,No Match,-,0.0,Movements NL
81,Groupe L.F.E. B.V.,lfe.nl,lfe.nl,3 - Presenting (S),100.0,Movements NL
82,MonShoe Fashion B.V.,shoecolate.nl,No Match,-,0.0,Movements NL
83,Whisper Power B.V.,whisperpower.com,hisperpower.com,8 - Loyal (CS),96.7741935483871,Movements NL
84,TM Essentials B.V.,tmessentials.nl/,No Match,-,0.0,Movements NL
85,Gloe & Zeitz B.V.,gloe-zeitz.nl,No Match,-,0.0,Movements NL
86,Van der Valk Systemen B.V.,kvt.nl,No Match,-,0.0,Movements NL
87,Comhan Holland B.V.,comhan.com,comhan.com,3 - Presenting (S),100.0,Movements NL
88,Design Development & Productions B.V.,ddandp.com,No Match,-,0.0,Movements NL
89,Bridge Polymers,bridgepolymers.nl,No Match,-,0.0,Movements NL
90,DBP International B.V.,nan,No Match,-,0.0,Movements NL
91,HBX Natural Living,deco.heembloemex.com,deco.heembloemex.com,3 - Presenting (S),100.0,Movements NL
92,Homeij Nederland B.V.,homeij.nl,No Match,-,0.0,Movements NL
93,Sentec International B.V.,sentecinternational.com,sentecinternational.com,1- MQL (Marketing),100.0,Movements NL
94,KEBO - De Heuning B.V.,kebointernational.com,No Match,-,0.0,Movements NL
95,Kaja Horeca Interieur B.V.,kaja.nl,kaja.nl,2 - SQL / Sales Outreach,100.0,Movements NL
96,Galvano Groothandel B.V.,galvano.nl,galvano.nl,2 - SQL / Sales Outreach,100.0,Movements NL
97,Joost Baakman B.V.,baakman.nl/,baakman.nl,2 - SQL / Sales Outreach,95.23809523809523,Movements NL
98,Woonboulevard Wijchen,woonboulevardwijchen.nl/,oonboulevardwijchen.nl,4 - Offering (S),95.65217391304348,Movements NL
99,JB-Inflatable B.V.,jb-inflatable.nl,jb-inflatables.nl,9 - Inactive (CS),96.96969696969697,Movements NL
100,T.R. Miller Holding B.V.,trfastenings.com,trfastenings.com,1- MQL (Marketing),100.0,Movements NL
101,Tower Living B.V.,towerliving.nl,towerliving.nl,1- MQL (Marketing),100.0,Movements NL
102,Broekhof-Verpakkingen B.V.,nan,No Match,-,0.0,Movements NL
103,Imperial Riding Holland B.V.,imperialriding.com,No Match,-,0.0,Movements NL
104,Filter Service Heerenveen B.V.,filterservice.nl,filterservice.nl,4 - Offering (S),100.0,Movements NL
105,Haco wonen & slapen Centraal Magazijn,haco.nu,haco.nu,3 - Presenting (S),100.0,Movements NL
106,Van Wijk en Olthuis B.V.,/www.wijkenolthuis.nl,No Match,-,0.0,Movements NL
107,Interjute BV,interjute.com,No Match,-,0.0,Movements NL
108,Total Produce B.V.,totalproduce.nl,totalproduce.nl,3 - Presenting (S),100.0,Movements NL
109,IBH Export B.V.,ibh-export.nl,ibh-export.nl,3 - Presenting (S),100.0,Movements NL
110,Aster Technology Holland B.V. / ARROW,arrow.com,arrow.com,2 - SQL / Sales Outreach,100.0,Movements NL
111,Jeveka B.V.,jeveka.com,jeveka.com,1- MQL (Marketing),100.0,Movements NL
112,Belgraver B.V.,belgraver.nl,belgraver.nl,1- MQL (Marketing),100.0,Movements NL
113,Coen Bakker Deco B.V.,coenbakker.nl,coenbakker.nl,3 - Presenting (S),100.0,Movements NL
114,Kanon Loading Equipment B.V.,kanon.nl,kanon.nl,1- MQL (Marketing),100.0,Movements NL
115,Theo Henkelman Schoenen B.V.,henkelman.nl,henkelman.nl,3 - Presenting (S),100.0,Movements NL
116,NP Fashion B.V.,nikkie.nl,No Match,-,0.0,Movements NL
117,Rietveld Licht VOF,rietveldlicht.nl,rietveldlicht.nl,8 - Loyal (CS),100.0,Movements NL
118,I.T.S. Holding B.V.,nan,No Match,-,0.0,Movements NL
119,FashionPower BV,fashionpower.eu,fashionpower.eu,4 - Offering (S),100.0,Movements NL
120,Sima Europe B.V.,nan,No Match,-,0.0,Movements NL
121,Rogon Products B.V.,rogon.com,rogon.com,2 - SQL / Sales Outreach,100.0,Movements NL
122,Agriton Holding B.V.,agriton.nl,No Match,-,0.0,Movements NL
123,SiSTEMA espresso systemen B.V.,si-stema.nl,No Match,-,0.0,Movements NL
124,MTR Fashion Flair B.V.,fashionflair.eu/en-gb/contact,No Match,-,0.0,Movements NL
125,Sakol B.V.,sakol.nl,No Match,-,0.0,Movements NL
126,SiccaDania,nivobahovex.com,No Match,-,0.0,Movements NL
127,Peter Dekker Handel B.V.,pdinl.com/nl/,No Match,-,0.0,Movements NL
128,Midl B.V.,midllogistics.com,No Match,-,0.0,Movements NL
129,Euro-Tyre B.V.,euro-tyre.nl/,No Match,-,0.0,Movements NL
130,Besgrow Europe B.V.,besgrow-europe.com,No Match,-,0.0,Movements NL
131,Ay illuminate B.V.,ayilluminate.com,No Match,-,0.0,Movements NL
