,Input Name,Input Website,Match,Stage,Score,Source
309,Kangaro K.T.C. B.V.,kangaro-ktc.nl/,kangaro-ktc.nl,2 - SQL / Sales Outreach,96.55172413793103,Movements NL
310,DNP Imagingcomm Europe B.V.,eu.dnpribbons.com/,No Match,-,0.0,Movements NL
311,DGT Dutch Graphic Trade,dgt-bv.nl,No Match,-,0.0,Movements NL
312,AxFlow B.V.,axflow.com,No Match,-,0.0,Movements NL
313,WSI Models B.V.,wsi-models.nl/,No Match,-,0.0,Movements NL
314,Eijerkamp Zutphen B.V.,eijerkamp.nl,eijerkamp.nl,9 - Inactive (CS),100.0,Movements NL
315,MULTI-FIX GROUP B.V.,multifixgroup.com/,No Match,-,0.0,Movements NL
316,Life & Mobility B.V.,life-mobility.com,No Match,-,0.0,Movements NL
317,MamaLoes Hoofdmagazijn,mamaloesbabysjop.nl/,mamaloesbabysjop.nl,1- MQL (Marketing),97.43589743589743,Movements NL
318,RSH Hillegom B.V.,rsh.eu,rsh.eu,4 - Offering (S),100.0,Movements NL
319,Gerkimex B.V.,gerkimex.nl,gerkimex.nl,1- MQL (Marketing),100.0,Movements NL
320,Atelier 49 Nederland B.V.,bebe-jou.nl,bebe-jou.nl,2 - SQL / Sales Outreach,100.0,Movements NL
321,MNFLD B.V.,manfield.com,No Match,-,0.0,Movements NL
322,Expo Trading Holland B.V.,expotrading.nl/,No Match,-,0.0,Movements NL
323,Marmitek B.V.,marmitek.com,marmitek.com,1- MQL (Marketing),100.0,Movements NL
324,Present Time B.V.,presenttime.com,presenttime.com,1- MQL (Marketing),100.0,Movements NL
325,KGT Holding B.V.,kgt.nl,kgt.nl,1- MQL (Marketing),100.0,Movements NL
326,Serenotex,serenotex.com,serenotex.com,1- MQL (Marketing),100.0,Movements NL
327,Mebu B.V.,nan,No Match,-,0.0,Movements NL
328,BoxspringPRO B.V.,boxspringpro.nl,No Match,-,0.0,Movements NL
329,Van der Graaf B.V.,vandergraafpte.nl,No Match,-,0.0,Movements NL
330,Swan Products,swan-products.nl,No Match,-,0.0,Movements NL
331,Laspartners Multiweld,lpmw.nl/,No Match,-,0.0,Movements NL
332,Popov Clothing B.V.,popovclothing.com,No Match,-,0.0,Movements NL
333,Beijer REF support center Oirschot,beijerref.nl,No Match,-,0.0,Movements NL
334,De Ruiter Staalkabel B.V.,deruiterstaalkabel.nl,No Match,-,0.0,Movements NL
335,Roberine B.V.,nan,No Match,-,0.0,Movements NL
336,Wins Holland B.V.,wins-holland.nl,ins-holland.nl,1- MQL (Marketing),96.55172413793103,Movements NL
337,Vernay Europa B.V.,vernay.com,vernay.com,3 - Presenting (S),100.0,Movements NL
338,House of Hermeta B.V.,hermeta.nl/,hermeta.nl,2 - SQL / Sales Outreach,95.23809523809523,Movements NL
339,Holland Colours Europe B.V.,hollandcolours.com,hollandcolours.com,2 - SQL / Sales Outreach,100.0,Movements NL
340,Awl-Techniek B.V.,awl.nl,awl.nl,2 - SQL / Sales Outreach,100.0,Movements NL
341,Dieseko Group B.V.,diesekogroup.com/,diesekogroup.com,3 - Presenting (S),96.96969696969697,Movements NL
342,Translift B.V.,mpmoil.nl,No Match,-,0.0,Movements NL
343,Texim Europe B.V.,texim-europe.com,texim-europe.com,2 - SQL / Sales Outreach,100.0,Movements NL
344,Zwart Techniek B.V.,zwarttechniek.nl/,No Match,-,0.0,Movements NL
345,Mediq Medeco,medeco.nl/,No Match,-,0.0,Movements NL
346,EuroFibers,eurofibers.com/,No Match,-,0.0,Movements NL
347,Hatenboer-Water,hatenboer-water.com,hatenboer-water.com,1- MQL (Marketing),100.0,Movements NL
348,Maars Partitioning Systems B.V.,maarsgroup.com,No Match,-,0.0,Movements NL
349,Stinis Holland B.V.,stinis.com,stinis.com,3 - Presenting (S),100.0,Movements NL
350,Fonteyn Outdoor Living Mall,fonteyn.nl,fonteyn.nl,1- MQL (Marketing),100.0,Movements NL
351,Wrist Kooyman Ship Supply B.V,wrist.com/,No Match,-,0.0,Movements NL
352,KS Steel Solutions B.V.,ksprofiel.com,ksprofiel.com,4 - Offering (S),100.0,Movements NL
353,I.N.P. Quality B.V.,inpquality.nl,No Match,-,0.0,Movements NL
354,Brocacef Supplies & Services B.V.,brocacefsupplies-services.nl/,No Match,-,0.0,Movements NL
355,Stora Enso Timber DIY Products B.V.,storaenso.com,storaenso.com,2 - SQL / Sales Outreach,100.0,Movements NL
356,Waste Treatment Technologies (WTT),wtt.nl,No Match,-,0.0,Movements NL
357,Euramax Coated Products B.V.,greefa.nl,greefa.nl,7 - Growth (CS),100.0,Movements NL
358,Eurochoice B.V.,eurochoice.nl,eurochoice.nl,4 - Offering (S),100.0,Movements NL
359,Bison International B.V.,bison.nl,No Match,-,0.0,Movements NL
360,Elysee Dental Solutions B.V.,elysee-dental.com,elysee-dental.com,3 - Presenting (S),100.0,Movements NL
361,T. Boer & zn,boer.com,No Match,-,0.0,Movements NL
362,Hello Straw,hellostraw.com,No Match,-,0.0,Movements NL
363,Seed Processing Holland B.V.,seedprocessing.nl,seedprocessing.nl,1- MQL (Marketing),100.0,Movements NL
364,NECARBO B.V,safic-alcan.com/,No Match,-,0.0,Movements NL
365,Nordson Benelux B.V.,nordson.com,nordson.com,2 - SQL / Sales Outreach,100.0,Movements NL
366,VDL Parree B.V.,jagtenberg.nl,No Match,-,0.0,Movements NL
367,Smart Packaging Solutions,cargotec.com,No Match,-,0.0,Movements NL
368,Ecolush,ecolushnederland.nl,ecolushnederland.nl,3 - Presenting (S),100.0,Movements NL
369,Dopharma Veterinaire Farmaca B.V.,dopharma.com,dopharma.com,1- MQL (Marketing),100.0,Movements NL
370,Devro B.V.,devro.com,devro.com,2 - SQL / Sales Outreach,100.0,Movements NL
371,Nevema B.V.,nevema.nl,No Match,-,0.0,Movements NL
372,Benelux Exportcar B.V.,carcentrebenelux.nl,No Match,-,0.0,Movements NL
373,A.D.J. Supply Europe B.V.,americandj.eu,No Match,-,0.0,Movements NL
374,J & W Service B.V.,jw-service.nl,No Match,-,0.0,Movements NL
375,Heutink International Staffing & Facilities B.V.,nienhuis.com,No Match,-,0.0,Movements NL
376,Frijns Steel Construction B.V.,frijnsindustrialgroup.com,No Match,-,0.0,Movements NL
377,ASSA ABLOY Entrance Systems,assaabloyentrance.nl,No Match,-,0.0,Movements NL
378,Luiten Greenhouses B.V.,luiten-greenhouses.com,luiten-greenhouses.com,3 - Presenting (S),100.0,Movements NL
379,Haket Handelsonderneming B.V.,haket.nl,No Match,-,0.0,Movements NL
380,Berco Car Carpets B.V.,arizonachemical.com,No Match,-,0.0,Movements NL
381,coolblue,nan,No Match,-,0.0,Linkedin Leads
382,Cefetra Feed Service B.V.,nan,No Match,-,0.0,Linkedin Leads
383,Van Raam,nan,No Match,-,0.0,Linkedin Leads
384,Fairlight BV,nan,No Match,-,0.0,Linkedin Leads
385,Jiffy Group,nan,No Match,-,0.0,Linkedin Leads
386,Van Doleweerd,nan,No Match,-,0.0,Linkedin Leads
387,dorel-juvenile,nan,No Match,-,0.0,Linkedin Leads
388,broekman-logistics,nan,No Match,-,0.0,Linkedin Leads
389,Basiswaarde,nan,No Match,-,0.0,Linkedin Leads
390,dhl global forwarding,nan,No Match,-,0.0,Linkedin Leads
391,Willem van Esch,nan,No Match,-,0.0,Linkedin Leads
392,Gardenwood bv,nan,No Match,-,0.0,Linkedin Leads
393,Port of Rotterdam,nan,No Match,-,0.0,Linkedin Leads
394,hosiery center,nan,hosiery center b v,1- MQL (Marketing),95.0,Linkedin Leads
395,Worldpack Trading BV,nan,No Match,-,0.0,Linkedin Leads
396,Smartwares Group,nan,No Match,-,0.0,Linkedin Leads
397,Libbey Inc.,nan,No Match,-,0.0,Linkedin Leads
398,MacLean B.V.,nan,No Match,-,0.0,Linkedin Leads
399,chromaflo-technologies-europe,nan,No Match,-,0.0,Linkedin Leads
400,"IBG Europe, a G4S company",nan,No Match,-,0.0,Linkedin Leads
401,speelgoedland,nan,speelgoedland b v,9 - Inactive (CS),95.0,Linkedin Leads
402,Kuhlman Repko Shipping BV,nan,No Match,-,0.0,Linkedin Leads
403,"Esudia Engineering, Support & Diagnostics B.V./ Dena B.V.",nan,No Match,-,0.0,Linkedin Leads
404,Bolster Safety,nan,No Match,-,0.0,Linkedin Leads
405,Ukuthumela  Olwandle ,nan,No Match,-,0.0,Linkedin Leads
406,ivc-group,nan,No Match,-,0.0,Linkedin Leads
407,Nature's Pride,nan,No Match,-,0.0,Linkedin Leads
408,Access World,nan,No Match,-,0.0,Linkedin Leads
409,Logistic Consultancy Van den Bosch,nan,No Match,-,0.0,Linkedin Leads
410,van den Bosch Intro BV,nan,No Match,-,0.0,Linkedin Leads
411,De Wit B.V,nan,No Match,-,0.0,Linkedin Leads
412,Artdelight International B.V.,nan,No Match,-,0.0,Linkedin Leads
413,ASO Europe,nan,No Match,-,0.0,Linkedin Leads
414,The Green Forwarder,nan,No Match,-,0.0,Linkedin Leads
415,king-belgium-nv,nan,No Match,-,0.0,Linkedin Leads
416,e-logistics advies,nan,No Match,-,0.0,Linkedin Leads
417,DB Schenker,nan,No Match,-,0.0,Linkedin Leads
418,recreapark,nan,No Match,-,0.0,Linkedin Leads
419,Shypple,nan,No Match,-,0.0,Linkedin Leads
420,Hortus Supplies International B.V.,nan,No Match,-,0.0,Linkedin Leads
421,ThermIQ,nan,No Match,-,0.0,Linkedin Leads
422,ontex,nan,ontex,1- MQL (Marketing),100.0,Linkedin Leads
423,DRI Rubber,nan,No Match,-,0.0,Linkedin Leads
424,WITHIT BV,nan,No Match,-,0.0,Linkedin Leads
425,logiqs-agro_2,nan,No Match,-,0.0,Linkedin Leads
426,Hogewoning B.V.,nan,No Match,-,0.0,Linkedin Leads
427,Stedergroup bv,nan,No Match,-,0.0,Linkedin Leads
428,QWIC,nan,No Match,-,0.0,Linkedin Leads
429,Albea,nan,No Match,-,0.0,Linkedin Leads
430,Centrum Wiskunde & Informatica,nan,No Match,-,0.0,Linkedin Leads
431,vidaXL,nan,No Match,-,0.0,Linkedin Leads
432,NJ High End Coaching BV / Highly Effective Leadership Programs H.E.L.P.,nan,No Match,-,0.0,Linkedin Leads
433,SGS,nan,No Match,-,0.0,Linkedin Leads
434,Blockchain Language Knowledge Foundation,nan,No Match,-,0.0,Linkedin Leads
435,archipel-tax-advice,nan,No Match,-,0.0,Linkedin Leads
436,Heisterkamp Transportation Solutions,nan,No Match,-,0.0,Linkedin Leads
437,flexport,nan,No Match,-,0.0,Linkedin Leads
438,ally-coffee,nan,No Match,-,0.0,Linkedin Leads
439,Wabtec Netherlands ,nan,No Match,-,0.0,Linkedin Leads
440,heineken,nan,heineken,1- MQL (Marketing),100.0,Linkedin Leads
441,Woninginrichting,nan,No Match,-,0.0,Linkedin Leads
442,Import & Export,nan,No Match,-,0.0,Linkedin Leads
443,Cosmetics,nan,No Match,-,0.0,Linkedin Leads
444,Consumer Electronics,nan,No Match,-,0.0,Linkedin Leads
445,Consumptiegoederen,nan,No Match,-,0.0,Linkedin Leads
446,Consumer Goods,nan,No Match,-,0.0,Linkedin Leads
447,Medical Device,nan,No Match,-,0.0,Linkedin Leads
448,Transport/vrachtvervoer/spoorwegen,nan,No Match,-,0.0,Linkedin Leads
449,Medical Device,nan,No Match,-,0.0,Linkedin Leads
450,Logistics & Supply Chain,nan,No Match,-,0.0,Linkedin Leads
451,Machinery,nan,No Match,-,0.0,Linkedin Leads
452,Electrical & Electronic Manufacturing,nan,No Match,-,0.0,Linkedin Leads
453,Wholesale,nan,No Match,-,0.0,Linkedin Leads
454,Consumer Goods,nan,No Match,-,0.0,Linkedin Leads
455,Shypple,nan,No Match,-,0.0,Linkedin Leads
456,Logistics & Supply Chain,nan,No Match,-,0.0,Linkedin Leads
457,Gezondheidszorg,nan,No Match,-,0.0,Linkedin Leads
458,Furniture,nan,No Match,-,0.0,Linkedin Leads
459,Internationale handel en ontwikkeling,nan,No Match,-,0.0,Linkedin Leads
460,Machines,nan,No Match,-,0.0,Linkedin Leads
461,Wholesale,nan,No Match,-,0.0,Linkedin Leads
462,Apparel & Fashion,nan,No Match,-,0.0,Linkedin Leads
463,Import & Export,nan,No Match,-,0.0,Linkedin Leads
464,Furniture,nan,No Match,-,0.0,Linkedin Leads
465,Pharmaceuticals,nan,No Match,-,0.0,Linkedin Leads
466,Dairy,nan,No Match,-,0.0,Linkedin Leads
467,Hospital & Health Care,nan,No Match,-,0.0,Linkedin Leads
468,Consumptiegoederen,nan,No Match,-,0.0,Linkedin Leads
469,Wholesale,nan,No Match,-,0.0,Linkedin Leads
470,Woninginrichting,nan,No Match,-,0.0,Linkedin Leads
471,Medical Device,nan,No Match,-,0.0,Linkedin Leads
472,Hospital & Health Care,nan,No Match,-,0.0,Linkedin Leads
473,Entertainment,nan,No Match,-,0.0,Linkedin Leads
474,Machines,nan,No Match,-,0.0,Linkedin Leads
475,Consumer Goods,nan,No Match,-,0.0,Linkedin Leads
476,Woninginrichting,nan,No Match,-,0.0,Linkedin Leads
477,Consumer Electronics,nan,No Match,-,0.0,Linkedin Leads
478,Textiles,nan,No Match,-,0.0,Linkedin Leads
479,Textiles,nan,No Match,-,0.0,Linkedin Leads
480,Machinery,nan,No Match,-,0.0,Linkedin Leads
481,Consumptiegoederen,nan,No Match,-,0.0,Linkedin Leads
482,Machinery,nan,No Match,-,0.0,Linkedin Leads
483,Apparel & Fashion,nan,No Match,-,0.0,Linkedin Leads
484,Groothandel,nan,No Match,-,0.0,Linkedin Leads
485,Consumer Goods,nan,No Match,-,0.0,Linkedin Leads
486,Consumer Electronics,nan,No Match,-,0.0,Linkedin Leads
487,Wholesale,nan,No Match,-,0.0,Linkedin Leads
488,Voedsel en dranken,nan,No Match,-,0.0,Linkedin Leads
489,Information Technology & Services,nan,No Match,-,0.0,Linkedin Leads
490,Order Manager,nan,No Match,-,0.0,Linkedin Leads
491,Information Technology & Services,nan,No Match,-,0.0,Linkedin Leads
492,Import en export,nan,No Match,-,0.0,Linkedin Leads
493,Wholesale,nan,No Match,-,0.0,Linkedin Leads
494,Publishing,nan,No Match,-,0.0,Linkedin Leads
495,Import & Export,nan,No Match,-,0.0,Linkedin Leads
496,Apparel & Fashion,nan,No Match,-,0.0,Linkedin Leads
497,Transport/vrachtvervoer/spoorwegen,nan,No Match,-,0.0,Linkedin Leads
498,Retail,nan,No Match,-,0.0,Linkedin Leads
499,Furniture,nan,No Match,-,0.0,Linkedin Leads
500,International Trade & Development,nan,No Match,-,0.0,Linkedin Leads
501,Consumer Electronics,nan,No Match,-,0.0,Linkedin Leads
502,Food Production,nan,No Match,-,0.0,Linkedin Leads
503,Consumptiegoederen,nan,No Match,-,0.0,Linkedin Leads
504,Logistics & Supply Chain,nan,No Match,-,0.0,Linkedin Leads
505,Logistics & Supply Chain,nan,No Match,-,0.0,Linkedin Leads
506,Groothandel,nan,No Match,-,0.0,Linkedin Leads
507,Holland Diervoeders BV,nan,No Match,-,0.0,Linkedin Leads
508,Decostar,nan,No Match,-,0.0,Linkedin Leads
509,Benckmar B.V.,nan,No Match,-,0.0,Linkedin Leads
510,Jansen Poultry Equipment,nan,No Match,-,0.0,Linkedin Leads
511,PBF Group B.V.,nan,No Match,-,0.0,Linkedin Leads
512,de Coöperatie expert,nan,No Match,-,0.0,Linkedin Leads
513,ILEXYS BV,nan,No Match,-,0.0,Linkedin Leads
514,PVG Liquids NV,nan,No Match,-,0.0,Linkedin Leads
515,Swiss Sense,nan,No Match,-,0.0,Linkedin Leads
516,kommago,nan,No Match,-,0.0,Linkedin Leads
517,Nedstar,nan,No Match,-,0.0,Linkedin Leads
518,EDCO Eindhoven BV,nan,No Match,-,0.0,Linkedin Leads
519,Pieterpikzonen BV,nan,No Match,-,0.0,Linkedin Leads
520,Sous Fresh BV,nan,No Match,-,0.0,Linkedin Leads
521,Van Donge & de Roo B.V.,nan,No Match,-,0.0,Linkedin Leads
522,Thai Union Group PCL.,nan,No Match,-,0.0,Linkedin Leads
523,Roveg Fruit B.V.,nan,No Match,-,0.0,Linkedin Leads
524,group-depré,nan,No Match,-,0.0,Linkedin Leads
525,Sally Beauty,nan,No Match,-,0.0,Linkedin Leads
526,Golden Key Creation LTD.,nan,No Match,-,0.0,Linkedin Leads
527,Permess International,nan,No Match,-,0.0,Linkedin Leads
528,Tootal fabrics (Holland) bv,nan,No Match,-,0.0,Linkedin Leads
529,Pieterpikzonen BV,nan,No Match,-,0.0,Linkedin Leads
530,Johnson & Johnson,nan,No Match,-,0.0,Linkedin Leads
531,Sales & Sourcing Consulting,nan,No Match,-,0.0,Linkedin Leads
532,Norah,nan,No Match,-,0.0,Linkedin Leads
533,Biocartis,nan,No Match,-,0.0,Linkedin Leads
534,Rioned,nan,No Match,-,0.0,Linkedin Leads
535,Hebei Cofco Rotterdam BV,nan,No Match,-,0.0,Linkedin Leads
536,Stryker,nan,No Match,-,0.0,Linkedin Leads
537,Balt,nan,No Match,-,0.0,Linkedin Leads
538,LABORIE,nan,No Match,-,0.0,Linkedin Leads
539,Dimensio Verpakkingen B.V.,nan,No Match,-,0.0,Linkedin Leads
540,Balt,nan,No Match,-,0.0,Linkedin Leads
541,Fullwood Packo nv,nan,No Match,-,0.0,Linkedin Leads
542,roompot-living-b-v-&-roompot-group-b-v-,nan,No Match,-,0.0,Linkedin Leads
543,TOBROCO-GIANT,nan,No Match,-,0.0,Linkedin Leads
544,"WellPet, LLC",nan,No Match,-,0.0,Linkedin Leads
545,The Cookie Company,nan,No Match,-,0.0,Linkedin Leads
546,Volvo Group,nan,No Match,-,0.0,Linkedin Leads
547,PVG Liquids NV,nan,No Match,-,0.0,Linkedin Leads
548,WinnerChoice Ltd,nan,No Match,-,0.0,Linkedin Leads
549,bdairy,nan,No Match,-,0.0,Linkedin Leads
550,RZMA Medica,nan,No Match,-,0.0,Linkedin Leads
551,Capi Europe,nan,No Match,-,0.0,Linkedin Leads
552,ab-inbev,nan,No Match,-,0.0,Linkedin Leads
553,Nationale Theaterkassa,nan,No Match,-,0.0,Linkedin Leads
554,de-eekhoorn-dutch-furniture,nan,No Match,-,0.0,Linkedin Leads
555,Frutos Tropicales Europe,nan,No Match,-,0.0,Linkedin Leads
556,Omexom,nan,No Match,-,0.0,Linkedin Leads
557,JUUL Labs,nan,No Match,-,0.0,Linkedin Leads
558,PENTAGON INTERNATIONAL FREIGHT SOLUTIONS PVT LTD,nan,No Match,-,0.0,Linkedin Leads
559,ecom-empowered,nan,No Match,-,0.0,Linkedin Leads
560,gate4eu-nv,nan,No Match,-,0.0,Linkedin Leads
561,mol-logistics,nan,No Match,-,0.0,Linkedin Leads
562,Somfy Group,nan,No Match,-,0.0,Linkedin Leads
563,roompot-living-b-v-&-roompot-group-b-v-,nan,No Match,-,0.0,Linkedin Leads
564,PartyLite,nan,No Match,-,0.0,Linkedin Leads
565,speelgoedland,nan,speelgoedland b v,9 - Inactive (CS),95.0,Linkedin Leads
566,EDCO Eindhoven BV,nan,No Match,-,0.0,Linkedin Leads
567,LENO Group,nan,No Match,-,0.0,Linkedin Leads
568,verathon,nan,No Match,-,0.0,Linkedin Leads
569,s-p-paneelbouw-bv,nan,No Match,-,0.0,Linkedin Leads
570,laco-recreatie,nan,No Match,-,0.0,Linkedin Leads
571,Pon Equipment Nederland,nan,No Match,-,0.0,Linkedin Leads
572,Philips Lighting,nan,No Match,-,0.0,Linkedin Leads
573,Nexans Benelux,nan,No Match,-,0.0,Linkedin Leads
574,JLG Industries,nan,No Match,-,0.0,Linkedin Leads
575,Sacobel World Leather Confections B.V.,nan,No Match,-,0.0,Linkedin Leads
576,van-dam-machine-europe-bv,nan,No Match,-,0.0,Linkedin Leads
577,DPA Professionals,nan,No Match,-,0.0,Linkedin Leads
578,Interface,nan,No Match,-,0.0,Linkedin Leads
579,TOBROCO-GIANT,nan,No Match,-,0.0,Linkedin Leads
580,PBF Group B.V.,nan,No Match,-,0.0,Linkedin Leads
581,HEINEKEN,nan,No Match,-,0.0,Linkedin Leads
582,KS Profiel BV,nan,No Match,-,0.0,Linkedin Leads
583,PVG Liquids NV,nan,No Match,-,0.0,Linkedin Leads
584,FOX Originals,nan,No Match,-,0.0,Linkedin Leads
585,BekaertDeslee,nan,No Match,-,0.0,Linkedin Leads
586,Factris,nan,No Match,-,0.0,Linkedin Leads
587,de-klerk-binnenbouw-b.v.,nan,No Match,-,0.0,Linkedin Leads
588,copa-home,nan,No Match,-,0.0,Linkedin Leads
589,nike,nan,nike,1- MQL (Marketing),100.0,Linkedin Leads
590,"Zelfstandige musad export is import is onder the church of jesuas christ of laater dag saints,",nan,No Match,-,0.0,Linkedin Leads
591,feyter-group,nan,No Match,-,0.0,Linkedin Leads
592,HERRAU,nan,No Match,-,0.0,Linkedin Leads
593,nedelko,nan,nedelko,2 - SQL / Sales Outreach,100.0,Linkedin Leads
594,Westland Kaas,nan,No Match,-,0.0,Linkedin Leads
595,RZMA Medica,nan,No Match,-,0.0,Linkedin Leads
596,,nan,No Match,-,0.0,Linkedin Leads
597,Helly Hansen,nan,No Match,-,0.0,Linkedin Leads
598,Ontex,nan,No Match,-,0.0,Linkedin Leads
599,,nan,No Match,-,0.0,Linkedin Leads
600,BOA Recycling Systems BV,nan,No Match,-,0.0,Linkedin Leads
601,Bolsius B.V.,nan,No Match,-,0.0,Linkedin Leads
602,de-eekhoorn-dutch-furniture,nan,No Match,-,0.0,Linkedin Leads
603,,nan,No Match,-,0.0,Linkedin Leads
604,verathon,nan,No Match,-,0.0,Linkedin Leads
605,CVB,nan,No Match,-,0.0,Linkedin Leads
606,Watkins Wellness,nan,No Match,-,0.0,Linkedin Leads
607,Shada BV,nan,No Match,-,0.0,Linkedin Leads
608,harting-bank,nan,No Match,-,0.0,Linkedin Leads
609,Alcochem Hygiene,nan,No Match,-,0.0,Linkedin Leads
610,O'Neill,nan,No Match,-,0.0,Linkedin Leads
611,Volvo Group,nan,No Match,-,0.0,Linkedin Leads
612,Murata,nan,No Match,-,0.0,Linkedin Leads
613,swisssense,nan,swiss sense,1- MQL (Marketing),95.23809523809523,Linkedin Leads
614,Gemstone Communities,nan,No Match,-,0.0,Linkedin Leads
615,tna solutions Pty Ltd.,nan,No Match,-,0.0,Linkedin Leads
616,Hill-Rom,nan,No Match,-,0.0,Linkedin Leads
617,MHI Vestas Offshore Wind,nan,No Match,-,0.0,Linkedin Leads
618,Henkel,nan,No Match,-,0.0,Linkedin Leads
619,Interface,nan,No Match,-,0.0,Linkedin Leads
620,Arati Fragrance,nan,No Match,-,0.0,Linkedin Leads
621,Henkel,nan,No Match,-,0.0,Linkedin Leads
622,"profitair logistics co.,ltd",nan,No Match,-,0.0,Linkedin Leads
623,"SPX FLOW, Inc.",nan,No Match,-,0.0,Linkedin Leads
624,MGH nv,nan,No Match,-,0.0,Linkedin Leads
625,Nedschroef Machinery N.V.,nan,No Match,-,0.0,Linkedin Leads
626,Under Armour,nan,No Match,-,0.0,Linkedin Leads
627,Van der Ent Group,nan,No Match,-,0.0,Linkedin Leads
628,VMI,nan,No Match,-,0.0,Linkedin Leads
629,Shypple,nan,No Match,-,0.0,Linkedin Leads
630,Summa College,nan,No Match,-,0.0,Linkedin Leads
631,ACE electronics N.V.,nan,No Match,-,0.0,Linkedin Leads
632,Smartwares Group,nan,No Match,-,0.0,Linkedin Leads
633,speelgoedland,nan,speelgoedland b v,9 - Inactive (CS),95.0,Linkedin Leads
634,manutti_official,nan,No Match,-,0.0,Linkedin Leads
635,Knipidee International B.V.,nan,No Match,-,0.0,Linkedin Leads
636,WinnerChoice Ltd,nan,No Match,-,0.0,Linkedin Leads
637,Office-Deals,nan,No Match,-,0.0,Linkedin Leads
638,oceannet,nan,No Match,-,0.0,Linkedin Leads
639,,nan,No Match,-,0.0,Linkedin Leads
640,,nan,No Match,-,0.0,Linkedin Leads
641,VMI,nan,No Match,-,0.0,Linkedin Leads
642,koninklijke-eru,nan,No Match,-,0.0,Linkedin Leads
643,Otolift Stairlifts,nan,No Match,-,0.0,Linkedin Leads
644,Phonecrew,nan,No Match,-,0.0,Linkedin Leads
645,flamant,nan,No Match,-,0.0,Linkedin Leads
646,unilever,nan,unilever,1- MQL (Marketing),100.0,Linkedin Leads
647,DMJ Outdoor B.V.,nan,No Match,-,0.0,Linkedin Leads
648,Hose & Reel Products BV,nan,No Match,-,0.0,Linkedin Leads
649,SJAAIPOL,nan,No Match,-,0.0,Linkedin Leads
650,MGLine Trade & Logistic Solutions,nan,No Match,-,0.0,Linkedin Leads
651,By Santis,nan,No Match,-,0.0,Linkedin Leads
652,Sous Fresh BV,nan,No Match,-,0.0,Linkedin Leads
653,Danish Refugee Council,nan,No Match,-,0.0,Linkedin Leads
654,Dimensio Verpakkingen B.V.,nan,No Match,-,0.0,Linkedin Leads
655,speelgoedland,nan,speelgoedland b v,9 - Inactive (CS),95.0,Linkedin Leads
656,Upfield,nan,No Match,-,0.0,Linkedin Leads
657,smarter-living-bv,nan,No Match,-,0.0,Linkedin Leads
658,D&L Ventures BV,nan,No Match,-,0.0,Linkedin Leads
659,Intafresh,nan,No Match,-,0.0,Linkedin Leads
660,JACOBS DOUWE EGBERTS,nan,No Match,-,0.0,Linkedin Leads
661,helly-hansen,nan,No Match,-,0.0,Linkedin Leads
662,Simply Analog,nan,No Match,-,0.0,Linkedin Leads
663,,nan,No Match,-,0.0,Linkedin Leads
664,koppert-biological-systems,nan,No Match,-,0.0,Linkedin Leads
665,demo,nan,No Match,-,0.0,Linkedin Leads
666,Nationale Politie,nan,No Match,-,0.0,Linkedin Leads
667,Dripperdrip,nan,No Match,-,0.0,Linkedin Leads
668,PVG Holding B.V.,nan,No Match,-,0.0,Linkedin Leads
669,EMMA Health & Beauty care BV,nan,No Match,-,0.0,Linkedin Leads
670,VDL Agrotech,nan,No Match,-,0.0,Linkedin Leads
671,Hortus Supplies International B.V.,nan,No Match,-,0.0,Linkedin Leads
672,Summa College,nan,No Match,-,0.0,Linkedin Leads
673,Dimensio Verpakkingen B.V.,nan,No Match,-,0.0,Linkedin Leads
674,Pon Equipment Nederland,nan,No Match,-,0.0,Linkedin Leads
675,Nike,nan,No Match,-,0.0,Linkedin Leads
676,Gelissen Paardentransport B.V.,nan,No Match,-,0.0,Linkedin Leads
677,TOBROCO-GIANT,nan,No Match,-,0.0,Linkedin Leads
678,Degolo commercial PLC,nan,No Match,-,0.0,Linkedin Leads
679,Alcochem Hygiene,nan,No Match,-,0.0,Linkedin Leads
680,PVH Corp.,nan,No Match,-,0.0,Linkedin Leads
681,Niacet,nan,No Match,-,0.0,Linkedin Leads
682,Labor Holland,nan,No Match,-,0.0,Linkedin Leads
683,Sherizon,nan,No Match,-,0.0,Linkedin Leads
684,LUTEC,nan,No Match,-,0.0,Linkedin Leads
685,Levi Strauss & Co.,nan,No Match,-,0.0,Linkedin Leads
686,INTRACO Ltd. NV,nan,No Match,-,0.0,Linkedin Leads
687,Schonenberg,nan,No Match,-,0.0,Linkedin Leads
688,Pack-It,nan,No Match,-,0.0,Linkedin Leads
689,Henry Schein Services GmbH,nan,No Match,-,0.0,Linkedin Leads
690,Global Brand Supply,nan,No Match,-,0.0,Linkedin Leads
691,kuhne---heitz-bv,nan,No Match,-,0.0,Linkedin Leads
692,teak-selection-b.v.,nan,No Match,-,0.0,Linkedin Leads
693,Barentz Animal Nutrition,nan,No Match,-,0.0,Linkedin Leads
694,tralert,nan,No Match,-,0.0,Linkedin Leads
695,Senior leader supply chain operations and Process Development,nan,No Match,-,0.0,Linkedin Leads
696,Intercont freight liners,nan,No Match,-,0.0,Linkedin Leads
697,ot-design-bv,nan,No Match,-,0.0,Linkedin Leads
698,AGS KHZ,nan,No Match,-,0.0,Linkedin Leads
699,SIAT,nan,No Match,-,0.0,Linkedin Leads
