,Input Name,Input Website,Match,Stage,Copper link,Score,Source,Status
194,ECEM European Chemical Marketing B.V.,www.ecem.com,ecem.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45350698,100.0,Movements NL,Open
195,Sluis Cigar Machinery B.V.,,No Match,-,-,0.0,Movements NL,-
196,WBE Group,https://wbe-group.com,twe-group.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/53925788,92.3076923076923,Movements NL,Open
197,Fastenal Europe B.V.,www.fastenal.com,fastenal.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51070110,100.0,Movements NL,Lost
198,Translas B.V.,www.translas.com,translas.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49462326,100.0,Movements NL,Lost
199,Unidex B.V.,www.unidexholland.com,No Match,-,-,0.0,Movements NL,-
200,Hoofdkantoor PTMD collection,www.ptmd.nl,ptmd.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/21078243,100.0,Movements NL,Abandoned
201,Vink Kunststoffen B.V.,www.vinkkunststoffen.nl,vinkkunststoffen.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51641312,100.0,Movements NL,Abandoned
202,Dampack International B.V.,www.dampack.nl,No Match,-,-,0.0,Movements NL,-
203,Apex Tool Group B.V.,www.apextoolgroup.com,apextoolgroup.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48822653,100.0,Movements NL,Lost
204,Ottevanger Milling Engineers B.V.,www.ottevanger.com,ottevanger.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46578572,100.0,Movements NL,Lost
205,Codi International B.V.,www.codi.nl,codi.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36336852,100.0,Movements NL,Open
206,Intralox L.L.C.,,No Match,-,-,0.0,Movements NL,-
207,Colubris Technologies B.V.,www.colubris-technologies.nl,No Match,-,-,0.0,Movements NL,-
208,Olba B.V.,www.olba.nl,No Match,-,-,0.0,Movements NL,-
209,Moving Spirits International B.V.,www.movingspirits.nl,No Match,-,-,0.0,Movements NL,-
210,Mountainhigh Nederland,www.mountainhigh.nl,mountainhigh.nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54514731,100.0,Movements NL,Won
211,Elopak B.V.,www.elopak.com,elopak.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49240939,100.0,Movements NL,Abandoned
212,Frozen Impex,https://www.frozenimpex.com/,No Match,-,-,0.0,Movements NL,-
213,Melkweg Holland B.V.,www.melkweg.com,No Match,-,-,0.0,Movements NL,-
214,T.T.I. Tyre Trading International B.V.,www.tti.nl,tti.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/24332360,100.0,Movements NL,Lost
215,Lab Associates B.V.,www.labassociates.com,No Match,-,-,0.0,Movements NL,-
216,Hosokawa Micron B.V.,www.hosokawa-micron-bv.com,hosokawa-micron-bv.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48354317,100.0,Movements NL,Open
217,HTG BV,www.bs-htg.com,bs-htg.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/44917679,100.0,Movements NL,Abandoned
218,Aweta G&P B.V.,www.aweta.com,No Match,-,-,0.0,Movements NL,-
219,Systemair B.V.,www.jadico.nl,No Match,-,-,0.0,Movements NL,-
220,Syntegon Packaging Solutions B.V.,www.syntegon.com,syntegon.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49698543,100.0,Movements NL,Abandoned
221,CeTeau B.V.,www.ceteau.com,No Match,-,-,0.0,Movements NL,-
222,CVB Ecologistics B.V.,www.cvbecologistics.com,cvbecologistics.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/19452013,100.0,Movements NL,Abandoned
223,Wilhelmsen Ships Service B.V.,www.wijlhuizen.nl,No Match,-,-,0.0,Movements NL,-
224,Colourstock International BV,https://www.colourstock.com/,No Match,-,-,0.0,Movements NL,-
225,Agriprom Stalmatten B.V.,www.agriprom.nl,No Match,-,-,0.0,Movements NL,-
226,Profipack Verpakkingsmaterialen B.V.,www.profipack.nl,profipack.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/23273554,100.0,Movements NL,Lost
227,Sofis,www.sofisglobal.com,sofisglobal.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/51132646,100.0,Movements NL,Open
228,Mueller,nl.paulmueller.com,paulmueller.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/15522963,95.0,Movements NL,Open
229,Calze Del Mondo Int. B.V.,www.calzedelmondo.nl,calzedelmondo.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14123973,100.0,Movements NL,Open
230,PRESIDENT SAFETY B.V.,,No Match,-,-,0.0,Movements NL,-
231,NZA New Zealand Auckland HQ,https://nl.nzanewzealand.com/,nzanewzealand.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52613262,95.0,Movements NL,Abandoned
232,"Bailey, Electric & Electronics B.V.",www.bailey.nl,bailey.nl,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/21637376,100.0,Movements NL,Open
233,Top Raam Decoraties B.V.,www.topraamdecoraties.com,No Match,-,-,0.0,Movements NL,-
234,Howitec Netting B.V.,www.howitec.nl,howitec.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48558326,100.0,Movements NL,Open
235,Goedkopekoffiebekers,www.goedkopekoffiebekers.nl,No Match,-,-,0.0,Movements NL,-
236,Chemical Distribution & Trade B.V.,www.partnersinchemicals.com,No Match,-,-,0.0,Movements NL,-
237,Bringo Electric Vehicles B.V. / LESLI B.V.,www.lesliliving.nl,No Match,-,-,0.0,Movements NL,-
238,Hyster-Yale Nederland B.V.,www.hyster-yale.com,hyster-yale.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49239849,100.0,Movements NL,Open
239,Lambert Spawn Europa B.V.,www.lambertspawn.eu,lambertspawn.eu,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/55688962,100.0,Movements NL,Open
240,C.W. Kouwelaar en Zoon B.V.,http://www.nickytoy.nl/,No Match,-,-,0.0,Movements NL,-
241,van Rijsoort B.V.,,No Match,-,-,0.0,Movements NL,-
242,Rino&Pelle,,No Match,-,-,0.0,Movements NL,-
243,Fetim Group,www.fetimgroup.com,fetimgroup.com/nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36048632,95.0,Movements NL,Lost
244,Flower Force B.V.,www.flowerforce.nl,flowerforce.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/51070134,100.0,Movements NL,Open
245,Atrium house of brands B.V.,www.onlyformen.nl,onlyformen.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/26559879,100.0,Movements NL,Open
246,Akker Exotic Plants B.V.,www.avakker.nl,avakker.nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56159696,100.0,Movements NL,Won
247,HKC Europe B.V.,www.hkc-europe.com,hkc-europe.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/34862992,100.0,Movements NL,Open
248,P.K. Benelux B.V.,www.pkbenelux.com,pkbenelux.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55986066,100.0,Movements NL,Open
249,Mondeno Benelux B.V.,www.mondeno.com,No Match,-,-,0.0,Movements NL,-
250,Dorel Juvenile,https://europe.doreljuvenile.com/,europe.doreljuvenile.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/44999635,100.0,Movements NL,Abandoned
251,Oliver-Tolas Healthcare Packaging B.V.,www.oliverhcp.com,No Match,-,-,0.0,Movements NL,-
252,Advantech Service-IoT GmbH Netherlands,www.advantech-service-iot.eu,No Match,-,-,0.0,Movements NL,-
253,Engel Foreign Food B.V.,www.engelforeignfood.com,engelforeignfood.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54880335,100.0,Movements NL,Open
254,Medico-Care B.V.,www.medicocare.nl,No Match,-,-,0.0,Movements NL,-
255,L & H Dutch Bear B.V.,www.lhdutchbear.nl,lhdutchbear.nl,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52772246,100.0,Movements NL,Won
256,Handelsonderneming H. Swanenberg B.V.,www.swanenberg.com,No Match,-,-,0.0,Movements NL,-
257,Richmond Interiors,www.richmondinteriors.nl,richmondinteriors.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/13995301,100.0,Movements NL,Open
258,International Hotel Supply B.V.,www.internationalhotelsupply.com,No Match,-,-,0.0,Movements NL,-
259,Tuinland Groningen,www.tuinland.nl,No Match,-,-,0.0,Movements NL,-
260,Stertil B.V.,www.stertil.nl,No Match,-,-,0.0,Movements NL,-
261,Terberg Control Systems B.V.,www.terberg-control-systems.nl,No Match,-,-,0.0,Movements NL,-
262,Badotherm Proces Instrumentatie B.V.,www.badotherm.com,badotherm.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52698847,100.0,Movements NL,Open
263,NL Food B.V.,www.foodbrokers.nl,No Match,-,-,0.0,Movements NL,-
264,Handelsonderneming van Krimpen B.V.,www.krimpen.nl,krimpen.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/26398555,100.0,Movements NL,Abandoned
265,ITB Group,www.itb.nl,No Match,-,-,0.0,Movements NL,-
266,Adams Music Centre,www.adams.nl,adams.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49718684,100.0,Movements NL,Lost
267,Load-Lok Nederland B.V.,www.loadlok.com,loadlok.com/nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50284471,95.0,Movements NL,Open
268,Bruj International B.V.,www.bruj.eu,bruj.eu,,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14124748,100.0,Movements NL,Lost
269,Bosman Van Zaal B.V.,www.bosmanvanzaal.com,bosmanvanzaal.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48560167,100.0,Movements NL,Lost
270,KH Chemicals B.V.,www.khchemicals.com,khchemicals.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/19870335,100.0,Movements NL,Lost
271,Lumat B.V.,www.lumat.com,No Match,-,-,0.0,Movements NL,-
272,Pols Potten B.V.,www.polspotten.nl,polspotten.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52147986,100.0,Movements NL,Open
273,Direct Maintenance B.V.,,No Match,-,-,0.0,Movements NL,-
274,Van Wijk Nederland B.V.,www.vwnl.com,No Match,-,-,0.0,Movements NL,-
275,Ammeraal Beltech B.V.,www.ammeraalbeltech.com,No Match,-,-,0.0,Movements NL,-
276,Kras Recycling B.V.,www.kras-recycling.com,No Match,-,-,0.0,Movements NL,-
277,Oukro B.V.,www.oukro.nl,oukro.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50690307,100.0,Movements NL,Open
278,Jan Zandbergen,www.janzandbergen.nl,No Match,-,-,0.0,Movements NL,-
279,Collé Rental & Sales,www.colle-sittard.nl,No Match,-,-,0.0,Movements NL,-
280,Hermes Wool B.V.,,No Match,-,-,0.0,Movements NL,-
281,VION Retail,www.vionfoodgroup.com,No Match,-,-,0.0,Movements NL,-
282,Crème de la Cream Company B.V.,www.cdlc.nl,cdlc.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45423899,100.0,Movements NL,Lost
283,Vaf Instruments B.V.,www.coneco.nl,No Match,-,-,0.0,Movements NL,-
284,Limako Suiker B.V.,www.limako.com,limako.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/57017247,100.0,Movements NL,Open
285,Cartec B.V.,www.cartecworld.com,cartecworld.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/53075222,100.0,Movements NL,Open
286,Interchemie Werken De Adelaar B.V.,www.interchemie.com,interchemie.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51207011,100.0,Movements NL,Open
287,Louët B.V.,www.louet.nl,No Match,-,-,0.0,Movements NL,-
288,Stora Enso Timber DIY Products B.V.,www.storaenso.com,storaenso.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/50328360,100.0,Movements NL,Abandoned
289,VPS International B.V.,www.vps-lubricants.net,No Match,-,-,0.0,Movements NL,-
290,Hadek Protective Systems B.V.,www.hadek.com,hadek.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45640456,100.0,Movements NL,Lost
291,World Wide Fertilizers - Van de Reijt Meststoffen B.V.,http://www.vdreijtfert.nl/wp/world-wide-fertilizers-2/,No Match,-,-,0.0,Movements NL,-
292,Euro Used Clothing B.V.,www.eurousedclothing.nl,eurousedclothing.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52071869,100.0,Movements NL,Lost
293,Doco International B.V.,www.doco-international.com,doco-international.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56072513,100.0,Movements NL,Open
294,Anema Trucks & Spare Parts,https://anema.nl/,anema.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/42852560,100.0,Movements NL,Abandoned
295,Hyva International B.V.,www.lincolnelectric.nl,No Match,-,-,0.0,Movements NL,-
296,Stopaq B.V.,www.stopaq.com,No Match,-,-,0.0,Movements NL,-
297,Estillon B.V,www.estillon.nl,No Match,-,-,0.0,Movements NL,-
298,Bredox chemicals,www.bredox.nl,bredox.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/47045582,100.0,Movements NL,Abandoned
299,Banden inzamelingsbedrijf van der veen,,No Match,-,-,0.0,Movements NL,-
300,Bosco Pharma Nederland B.V.,www.boscopharma.nl,No Match,-,-,0.0,Movements NL,-
301,CF&S,,No Match,-,-,0.0,Movements NL,-
302,SABORN TRADING B.V,https://www.saborn-trading.nl/,saborn-trading.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/47169920,100.0,Movements NL,Open
303,Fineline QPI BV,www.fineline-global.com,No Match,-,-,0.0,Movements NL,-
304,Cars 4 Kids B.V.,www.cars4kids.nl,No Match,-,-,0.0,Movements NL,-
305,Durea B.V.,www.durea.nl,durea.nl,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/34160473,100.0,Movements NL,Won
306,Becton Dickinson Rowa Netherlands,https://rowa.de/en/,No Match,-,-,0.0,Movements NL,-
307,Ice-World Benelux b.v.,,No Match,-,-,0.0,Movements NL,-
308,Vlastuin Metal B.V.,www.vlastuin.nl,vlastuin.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/53334500,100.0,Movements NL,Open
309,Kangaro K.T.C. B.V.,http://kangaro-ktc.nl/,kangaro-ktc.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/51430326,100.0,Movements NL,Lost
310,DNP Imagingcomm Europe B.V.,https://eu.dnpribbons.com/,No Match,-,-,0.0,Movements NL,-
311,DGT Dutch Graphic Trade,www.dgt-bv.nl,No Match,-,-,0.0,Movements NL,-
312,AxFlow B.V.,www.axflow.com,axflow.com/nl-nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49304620,90.0,Movements NL,Lost
313,WSI Models B.V.,http://wsi-models.nl/,No Match,-,-,0.0,Movements NL,-
314,Eijerkamp Zutphen B.V.,www.eijerkamp.nl,eijerkamp.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49764816,100.0,Movements NL,Won
315,MULTI-FIX GROUP B.V.,http://multifixgroup.com/,No Match,-,-,0.0,Movements NL,-
316,Life & Mobility B.V.,www.life-mobility.com,life-mobility.com/nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52670231,95.0,Movements NL,Won
317,MamaLoes Hoofdmagazijn,http://mamaloesbabysjop.nl/,mamaloesbabysjop.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50646811,100.0,Movements NL,Lost
318,RSH Hillegom B.V.,www.rsh.eu,rsh.eu,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49967102,100.0,Movements NL,Lost
319,Gerkimex B.V.,www.gerkimex.nl,gerkimex.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30580875,100.0,Movements NL,Open
320,Atelier 49 Nederland B.V.,www.bebe-jou.nl,bebe-jou.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/11292531,100.0,Movements NL,Lost
321,MNFLD B.V.,www.manfield.com,No Match,-,-,0.0,Movements NL,-
322,Expo Trading Holland B.V.,http://expotrading.nl/,No Match,-,-,0.0,Movements NL,-
323,Marmitek B.V.,www.marmitek.com,marmitek.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13219182,100.0,Movements NL,Lost
324,Present Time B.V.,www.presenttime.com,presenttime.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/36905446,100.0,Movements NL,Abandoned
325,KGT Holding B.V.,www.kgt.nl,kgt.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49712045,100.0,Movements NL,Open
326,Serenotex,www.serenotex.com,serenotex.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/37534159,100.0,Movements NL,Open
327,Mebu B.V.,,No Match,-,-,0.0,Movements NL,-
328,BoxspringPRO B.V.,www.boxspringpro.nl,No Match,-,-,0.0,Movements NL,-
329,Van der Graaf B.V.,www.vandergraafpte.nl,No Match,-,-,0.0,Movements NL,-
330,Swan Products,www.swan-products.nl,an-products.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/14124888,93.33333333333333,Movements NL,Open
331,Laspartners Multiweld,http://lpmw.nl/,lpmw.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52325493,100.0,Movements NL,Open
332,Popov Clothing B.V.,www.popovclothing.com,No Match,-,-,0.0,Movements NL,-
333,Beijer REF support center Oirschot,www.beijerref.nl,No Match,-,-,0.0,Movements NL,-
334,De Ruiter Staalkabel B.V.,deruiterstaalkabel.nl,No Match,-,-,0.0,Movements NL,-
335,Roberine B.V.,,No Match,-,-,0.0,Movements NL,-
336,Wins Holland B.V.,www.wins-holland.nl,ins-holland.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/56936068,96.55172413793103,Movements NL,Open
337,Vernay Europa B.V.,www.vernay.com,vernay.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47035669,100.0,Movements NL,Abandoned
338,House of Hermeta B.V.,https://www.hermeta.nl/,hermeta.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/51675426,100.0,Movements NL,Abandoned
339,Holland Colours Europe B.V.,www.hollandcolours.com,hollandcolours.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46430710,100.0,Movements NL,Open
340,Awl-Techniek B.V.,www.awl.nl,awl.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/51902018,100.0,Movements NL,Open
341,Dieseko Group B.V.,http://diesekogroup.com/,diesekogroup.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/14125065,100.0,Movements NL,Abandoned
342,Translift B.V.,www.mpmoil.nl,No Match,-,-,0.0,Movements NL,-
343,Texim Europe B.V.,www.texim-europe.com,texim-europe.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/45867020,100.0,Movements NL,Open
344,Zwart Techniek B.V.,http://zwarttechniek.nl/,zwarttechniek.nl/over-zwart-techniek,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50212535,90.0,Movements NL,Open
345,Mediq Medeco,http://medeco.nl/,No Match,-,-,0.0,Movements NL,-
346,EuroFibers,http://eurofibers.com/,No Match,-,-,0.0,Movements NL,-
347,Hatenboer-Water,www.hatenboer-water.com,hatenboer-water.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/33975408,100.0,Movements NL,Open
348,Maars Partitioning Systems B.V.,www.maarsgroup.com,No Match,-,-,0.0,Movements NL,-
349,Stinis Holland B.V.,www.stinis.com,stinis.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/44101788,100.0,Movements NL,Open
350,Fonteyn Outdoor Living Mall,www.fonteyn.nl,fonteyn.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/40342905,100.0,Movements NL,Abandoned
351,Wrist Kooyman Ship Supply B.V,http://wrist.com/,No Match,-,-,0.0,Movements NL,-
352,KS Steel Solutions B.V.,www.ksprofiel.com,ksprofiel.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47248790,100.0,Movements NL,Abandoned
353,I.N.P. Quality B.V.,www.inpquality.nl,No Match,-,-,0.0,Movements NL,-
354,Brocacef Supplies & Services B.V.,http://brocacefsupplies-services.nl/,No Match,-,-,0.0,Movements NL,-
355,Stora Enso Timber DIY Products B.V.,www.storaenso.com,storaenso.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/50328360,100.0,Movements NL,Abandoned
356,Waste Treatment Technologies (WTT),www.wtt.nl,tt.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52737765,90.9090909090909,Movements NL,Lost
357,Euramax Coated Products B.V.,www.greefa.nl,greefa.nl,7 - Growth (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13693360,100.0,Movements NL,Won
358,Eurochoice B.V.,www.eurochoice.nl,eurochoice.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55171999,100.0,Movements NL,Lost
359,Bison International B.V.,www.bison.nl,No Match,-,-,0.0,Movements NL,-
360,Elysee Dental Solutions B.V.,www.elysee-dental.com,elysee-dental.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50568835,100.0,Movements NL,Lost
361,T. Boer & zn,www.boer.com,No Match,-,-,0.0,Movements NL,-
362,Hello Straw,www.hellostraw.com,No Match,-,-,0.0,Movements NL,-
363,Seed Processing Holland B.V.,www.seedprocessing.nl,seedprocessing.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52418516,100.0,Movements NL,Open
364,NECARBO B.V,https://www.safic-alcan.com/,No Match,-,-,0.0,Movements NL,-
365,Nordson Benelux B.V.,www.nordson.com,nordson.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49240959,100.0,Movements NL,Open
366,VDL Parree B.V.,www.jagtenberg.nl,No Match,-,-,0.0,Movements NL,-
367,Smart Packaging Solutions,www.cargotec.com,No Match,-,-,0.0,Movements NL,-
368,Ecolush,www.ecolushnederland.nl,ecolushnederland.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54656760,100.0,Movements NL,Abandoned
369,Dopharma Veterinaire Farmaca B.V.,www.dopharma.com,dopharma.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/13414181,100.0,Movements NL,Abandoned
370,Devro B.V.,www.devro.com,devro.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/50210838,100.0,Movements NL,Lost
371,Nevema B.V.,https://www.nevema.nl,No Match,-,-,0.0,Movements NL,-
372,Benelux Exportcar B.V.,www.carcentrebenelux.nl,No Match,-,-,0.0,Movements NL,-
373,A.D.J. Supply Europe B.V.,www.americandj.eu,No Match,-,-,0.0,Movements NL,-
374,J & W Service B.V.,www.jw-service.nl,No Match,-,-,0.0,Movements NL,-
375,Heutink International Staffing & Facilities B.V.,www.nienhuis.com,No Match,-,-,0.0,Movements NL,-
376,Frijns Steel Construction B.V.,www.frijnsindustrialgroup.com,No Match,-,-,0.0,Movements NL,-
377,ASSA ABLOY Entrance Systems,www.assaabloyentrance.nl,No Match,-,-,0.0,Movements NL,-
378,Luiten Greenhouses B.V.,www.luiten-greenhouses.com,luiten-greenhouses.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48514559,100.0,Movements NL,Lost
379,Haket Handelsonderneming B.V.,www.haket.nl,No Match,-,-,0.0,Movements NL,-
380,Berco Car Carpets B.V.,www.arizonachemical.com,No Match,-,-,0.0,Movements NL,-
381,coolblue,,No Match,-,-,0.0,Linkedin Leads,-
382,Cefetra Feed Service B.V.,,No Match,-,-,0.0,Linkedin Leads,-
383,Van Raam,,No Match,-,-,0.0,Linkedin Leads,-
384,Fairlight BV,,No Match,-,-,0.0,Linkedin Leads,-
385,Jiffy Group,,No Match,-,-,0.0,Linkedin Leads,-
386,Van Doleweerd,,No Match,-,-,0.0,Linkedin Leads,-
387,dorel-juvenile,,No Match,-,-,0.0,Linkedin Leads,-
388,broekman-logistics,,No Match,-,-,0.0,Linkedin Leads,-
389,Basiswaarde,,No Match,-,-,0.0,Linkedin Leads,-
390,dhl global forwarding,,No Match,-,-,0.0,Linkedin Leads,-
391,Willem van Esch,,No Match,-,-,0.0,Linkedin Leads,-
392,Gardenwood bv,,No Match,-,-,0.0,Linkedin Leads,-
393,Port of Rotterdam,,No Match,-,-,0.0,Linkedin Leads,-
394,hosiery center,,No Match,-,-,0.0,Linkedin Leads,-
395,Worldpack Trading BV,,No Match,-,-,0.0,Linkedin Leads,-
396,Smartwares Group,,No Match,-,-,0.0,Linkedin Leads,-
397,Libbey Inc.,,No Match,-,-,0.0,Linkedin Leads,-
398,MacLean B.V.,,No Match,-,-,0.0,Linkedin Leads,-
399,chromaflo-technologies-europe,,No Match,-,-,0.0,Linkedin Leads,-
400,"IBG Europe, a G4S company",,No Match,-,-,0.0,Linkedin Leads,-
401,speelgoedland,,No Match,-,-,0.0,Linkedin Leads,-
402,Kuhlman Repko Shipping BV,,No Match,-,-,0.0,Linkedin Leads,-
403,"Esudia Engineering, Support & Diagnostics B.V./ Dena B.V.",,No Match,-,-,0.0,Linkedin Leads,-
404,Bolster Safety,,No Match,-,-,0.0,Linkedin Leads,-
405,Ukuthumela  Olwandle ,,No Match,-,-,0.0,Linkedin Leads,-
406,ivc-group,,No Match,-,-,0.0,Linkedin Leads,-
407,Nature's Pride,,No Match,-,-,0.0,Linkedin Leads,-
408,Access World,,No Match,-,-,0.0,Linkedin Leads,-
409,Logistic Consultancy Van den Bosch,,No Match,-,-,0.0,Linkedin Leads,-
410,van den Bosch Intro BV,,No Match,-,-,0.0,Linkedin Leads,-
411,De Wit B.V,,No Match,-,-,0.0,Linkedin Leads,-
