,Input Name,Input Website,Match,Stage,Copper link,Score,Source,Status
46,Bouwmaterialen Van Pelt,http://www.vanpelt-bouw.be,No Match,-,-,0.0,Movements BE,-
47,Natra Malle,https://natra.com/en/,natra.com/e,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/55074025,95.65217391304348,Movements BE,Open
48,BOGAERT TRANSMISSION,www.bogaert-transmission.com,bogaert-transmission.com/nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/52642504,95.0,Movements BE,Open
49,Prof Praxis,www.prof-praxis.com,prof-praxis.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52598315,100.0,Movements BE,Won
50,Drylock Technologies NV,www.drylocktechnologies.com,drylocktechnologies.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54357663,100.0,Movements BE,Lost
51,Selmus BVBA,www.selmus.com,selmus.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52883537,100.0,Movements BE,Abandoned
52,Samsonite Europe,www.samsonite.be/nl/home/,samsonite.be/nl/home,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52755386,100.0,Movements BE,Open
53,Lowette Gifts,https://www.lowette-gifts.be/,No Match,-,-,0.0,Movements BE,-
54,EVADAM,,Comdec B.V.,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/27995857,90.0,Movements BE,Open
55,Mitsubishi Chemical Advanced Materials Belgium,http://www.quadrantplastics.com,No Match,-,-,0.0,Movements BE,-
56,Kim's Chocolates,http://www.kimchoc.be,kimchoc.be,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/54933949,100.0,Movements BE,Open
57,ArcelorMittal Belgium,http://www.sidmar.be,No Match,-,-,0.0,Movements BE,-
58,LAG Trailers,http://www.lag.be,No Match,-,-,0.0,Movements BE,-
59,VANDEWIELE,http://www.vandewiele.com,vandewiele.com/en,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/54385605,95.0,Movements BE,Open
60,Agio Cigars Belgium,https://www.tobacco1.com,No Match,-,-,0.0,Movements BE,-
61,Grandeco Wallfashion Group - Belgium,http://www.grandecogroup.com,grandecogroup.com/en,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53925824,95.0,Movements BE,Won
62,Aurubis Olen nv,www.aurubis.com/olen,aurubis.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/46044731,95.0,Movements BE,Open
63,Colruyt Group Services,http://www.colruyt.be,No Match,-,-,0.0,Movements BE,-
64,Renson Ventilation,http://www.renson.be,renson.be,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50656125,100.0,Movements BE,Open
65,Barco,www.barco.com,barco.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/51989618,100.0,Movements BE,Open
66,Modulyss / Balta group,https://www.baltagroup.com/,baltagroup.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/48232845,100.0,Movements BE,Abandoned
67,Eleonora,www.eleonora.nl,No Match,-,-,0.0,Movements NL,-
68,Continental Banden Groep B.V. / PGB B.V.,www.pbg.nl,pbg.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/47169117,100.0,Movements NL,Lost
69,Burg Machinefabriek B.V.,www.burg-machinefabriek.nl,burgmachinefabriek.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/38573416,97.67441860465115,Movements NL,Abandoned
70,ROYAL FLOORING N.V,https://shoproyalflooring.com/,No Match,-,-,0.0,Movements NL,-
71,Metals Chemicals Maastricht B.V.,www.metalschemicalsgroup.com,metalschemicalsgroup.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46703966,100.0,Movements NL,Open
72,Bestronics B.V.,www.bestronics.nl,beetronics.nl,6 - Experience (CS+S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55803687,92.3076923076923,Movements NL,Open
73,PROM'ES Event Supplies,www.prom-es.nl,No Match,-,-,0.0,Movements NL,-
74,Eleq Steenwijk B.V.,www.eleq.com/nl/,eleq.com/nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/48558365,100.0,Movements NL,Open
75,Watson-Marlow Bredel B.V.,www.watson-marlow.com,No Match,-,-,0.0,Movements NL,-
76,Reprodex B.V.,www.reprodex.com,reprodex.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49465661,100.0,Movements NL,Open
77,KS Profiel B.V.,http://ksprofiel.nl/,No Match,-,-,0.0,Movements NL,-
78,Louët B.V.,www.louet.nl,No Match,-,-,0.0,Movements NL,-
79,Aircraft Part-Out Company Europe B.V.,https://www.apocaviation.com/,apocaviation.com,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46776231,100.0,Movements NL,Lost
80,NGM International B.V.,www.ngm-int.com,No Match,-,-,0.0,Movements NL,-
81,Groupe L.F.E. B.V.,www.lfe.nl,lfe.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/45591880,100.0,Movements NL,Lost
82,MonShoe Fashion B.V.,shoecolate.nl,No Match,-,-,0.0,Movements NL,-
83,Whisper Power B.V.,www.whisperpower.com,hisperpower.com,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51045167,96.7741935483871,Movements NL,Won
84,TM Essentials B.V.,https://tmessentials.nl/,No Match,-,-,0.0,Movements NL,-
85,Gloe & Zeitz B.V.,www.gloe-zeitz.nl,No Match,-,-,0.0,Movements NL,-
86,Van der Valk Systemen B.V.,www.kvt.nl,No Match,-,-,0.0,Movements NL,-
87,Comhan Holland B.V.,www.comhan.com,comhan.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50548124,100.0,Movements NL,Lost
88,Design Development & Productions B.V.,www.ddandp.com,No Match,-,-,0.0,Movements NL,-
89,Bridge Polymers,www.bridgepolymers.nl,No Match,-,-,0.0,Movements NL,-
90,DBP International B.V.,,No Match,-,-,0.0,Movements NL,-
91,HBX Natural Living,www.deco.heembloemex.com,deco.heembloemex.com,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/23038708,100.0,Movements NL,Abandoned
92,Homeij Nederland B.V.,www.homeij.nl,No Match,-,-,0.0,Movements NL,-
93,Sentec International B.V.,www.sentecinternational.com,sentecinternational.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49520271,100.0,Movements NL,Lost
94,KEBO - De Heuning B.V.,www.kebointernational.com,No Match,-,-,0.0,Movements NL,-
95,Kaja Horeca Interieur B.V.,www.kaja.nl,kaja.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/45291819,100.0,Movements NL,Open
96,Galvano Groothandel B.V.,www.galvano.nl,galvano.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49152769,100.0,Movements NL,Open
97,Joost Baakman B.V.,http://baakman.nl/,baakman.nl,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/56046093,100.0,Movements NL,Open
98,Woonboulevard Wijchen,https://www.woonboulevardwijchen.nl/,oonboulevardwijchen.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/55086517,97.77777777777777,Movements NL,Lost
99,JB-Inflatable B.V.,www.jb-inflatable.nl,jb-inflatables.nl,9 - Inactive (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/50646877,96.96969696969697,Movements NL,Lost
100,T.R. Miller Holding B.V.,www.trfastenings.com,trfastenings.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46062876,100.0,Movements NL,Open
101,Tower Living B.V.,www.towerliving.nl,towerliving.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/52432464,100.0,Movements NL,Open
102,Broekhof-Verpakkingen B.V.,,No Match,-,-,0.0,Movements NL,-
103,Imperial Riding Holland B.V.,www.imperialriding.com,No Match,-,-,0.0,Movements NL,-
104,Filter Service Heerenveen B.V.,www.filterservice.nl,filterservice.nl,4 - Offering (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51109903,100.0,Movements NL,Abandoned
105,Haco wonen & slapen Centraal Magazijn,www.haco.nu,haco.nu,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53229717,100.0,Movements NL,Lost
106,Van Wijk en Olthuis B.V.,/www.wijkenolthuis.nl,No Match,-,-,0.0,Movements NL,-
107,Interjute BV,www.interjute.com,te.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49022574,90.0,Movements NL,Abandoned
108,Total Produce B.V.,www.totalproduce.nl,totalproduce.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54838341,100.0,Movements NL,Abandoned
109,IBH Export B.V.,www.ibh-export.nl,ibh-export.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/54644072,100.0,Movements NL,Abandoned
110,Aster Technology Holland B.V. / ARROW,www.arrow.com,arrow.com,2 - SQL / Sales Outreach,https://app.prosperworks.com/companies/114103/app?p=db#/organization/49953892,100.0,Movements NL,Abandoned
111,Jeveka B.V.,www.jeveka.com,jeveka.com,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49339011,100.0,Movements NL,Open
112,Belgraver B.V.,www.belgraver.nl,belgraver.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/49298227,100.0,Movements NL,Open
113,Coen Bakker Deco B.V.,www.coenbakker.nl,coenbakker.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/30113103,100.0,Movements NL,Lost
114,Kanon Loading Equipment B.V.,www.kanon.nl,kanon.nl,1- MQL (Marketing),https://app.prosperworks.com/companies/114103/app?p=db#/organization/51677126,100.0,Movements NL,Open
115,Theo Henkelman Schoenen B.V.,www.henkelman.nl,henkelman.nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/14124819,100.0,Movements NL,Abandoned
116,NP Fashion B.V.,www.nikkie.nl,nikkie.com/nl,3 - Presenting (S),https://app.prosperworks.com/companies/114103/app?p=db#/organization/46499905,95.0,Movements NL,Lost
117,Rietveld Licht VOF,www.rietveldlicht.nl,rietveldlicht.nl,8 - Loyal (CS),https://app.prosperworks.com/companies/114103/app?p=db#/organization/53229736,100.0,Movements NL,Won
118,I.T.S. Holding B.V.,,No Match,-,-,0.0,Movements NL,-
